X,V,A,dA,thrust1,thrust2,tank2,gravity,air_drag,
3503.922044,71.649139,0.091582,0.000078,20.000000,0.000000,100.000000,-9.788798,-10.119621,
3575.662880,71.740836,0.091698,0.000116,20.000000,0.000000,100.000000,-9.788564,-10.119738,
3647.495564,71.832684,0.091847,0.000149,20.000000,0.000000,100.000000,-9.788330,-10.119823,
3719.420273,71.924709,0.092025,0.000178,20.000000,0.000000,100.000000,-9.788096,-10.119879,
3791.437210,72.016937,0.092228,0.000203,20.000000,0.000000,100.000000,-9.787861,-10.119911,
3863.546599,72.109389,0.092452,0.000224,20.000000,0.000000,100.000000,-9.787626,-10.119921,
3935.748684,72.202085,0.092695,0.000243,20.000000,0.000000,100.000000,-9.787391,-10.119913,
4008.043723,72.295039,0.092955,0.000259,20.000000,0.000000,100.000000,-9.787156,-10.119890,
4080.431990,72.388267,0.093228,0.000274,20.000000,0.000000,100.000000,-9.786920,-10.119852,
4152.913772,72.481782,0.093514,0.000286,20.000000,0.000000,100.000000,-9.786684,-10.119802,
4225.489365,72.575593,0.093811,0.000297,20.000000,0.000000,100.000000,-9.786448,-10.119741,
4298.159076,72.669711,0.094118,0.000307,20.000000,0.000000,100.000000,-9.786211,-10.119670,
4370.923221,72.764145,0.094434,0.000316,20.000000,0.000000,100.000000,-9.785974,-10.119592,
4443.782123,72.858902,0.094757,0.000323,20.000000,0.000000,100.000000,-9.785737,-10.119506,
4516.736113,72.953990,0.095088,0.000330,20.000000,0.000000,100.000000,-9.785500,-10.119413,
4589.785527,73.049414,0.095424,0.000337,20.000000,0.000000,100.000000,-9.785262,-10.119314,
4662.930708,73.145181,0.095767,0.000342,20.000000,0.000000,100.000000,-9.785024,-10.119209,
4736.172004,73.241296,0.096115,0.000348,20.000000,0.000000,100.000000,-9.784785,-10.119100,
4809.509767,73.337763,0.096467,0.000353,20.000000,0.000000,100.000000,-9.784547,-10.118986,
4882.944354,73.434587,0.096824,0.000357,20.000000,0.000000,100.000000,-9.784308,-10.118868,
4956.476128,73.531773,0.097186,0.000361,20.000000,0.000000,100.000000,-9.784068,-10.118746,
5030.105452,73.629325,0.097551,0.000365,20.000000,0.000000,100.000000,-9.783829,-10.118620,
5103.832697,73.727245,0.097921,0.000369,20.000000,0.000000,100.000000,-9.783589,-10.118491,
5177.658236,73.825538,0.098293,0.000373,20.000000,0.000000,100.000000,-9.783349,-10.118358,
5251.582444,73.924208,0.098670,0.000376,20.000000,0.000000,100.000000,-9.783108,-10.118222,
5325.605701,74.023257,0.099049,0.000380,20.000000,0.000000,100.000000,-9.782867,-10.118084,
5399.728390,74.122689,0.099432,0.000383,20.000000,0.000000,100.000000,-9.782626,-10.117942,
5473.950897,74.222507,0.099818,0.000386,20.000000,0.000000,100.000000,-9.782385,-10.117797,
